cityId,cityName_CN,cityName_EN,Lon,Lat,Regis_pop,Res_pop,GDP,Mob_degree,Pub_degree
421200,咸宁,Xianning,114.174,29.6256,620000.0,676000.0,25911000000.0,305651,87
130800,承德,Chengde,117.546,41.3455,600000.0,640000.0,30517520000.0,245858,81
341700,池州,Chizhou,117.365,30.2837,670000.0,700000.0,31317980000.0,171031,28
510900,遂宁,Suining,105.47,30.6315,1520000.0,1580000.0,41673050000.0,305142,31
431300,娄底,Loudi,111.611,27.7393,490000.0,649000.0,40382040000.0,389872,32
621000,庆阳,Qingyang,107.588,36.1654,390000.0,522000.0,17188810000.0,135091,19
610200,铜川,Tongchuan,109.034,35.1996,740000.0,753000.0,27849500000.0,114523,16
411600,周口,Zhoukou,114.877,33.7248,640000.0,615000.0,21118430000.0,819603,87
341500,六安,Lu'an,116.313,31.7573,2200000.0,2276000.0,48164000000.0,473233,44
610600,延安,Yan'an,109.316,36.4391,480000.0,815000.0,25514000000.0,231842,112
220800,白城,Baicheng,123.011,45.3439,490000.0,513000.0,18174500000.0,124778,22
610500,渭南,Weinan,109.853,34.9536,960000.0,1351000.0,33319500000.0,426937,42
220600,白山,Baishan,127.283,42.0687,550000.0,598000.0,35039890000.0,125328,2
450700,钦州,Qinzhou,109.028,22.187,1500000.0,1519000.0,51113130000.0,317250,62
211300,朝阳,Chaoyang,120.013,41.5119,610000.0,712000.0,18003690000.0,146838,22
450400,梧州,Wuzhou,110.992,23.4804,790000.0,931000.0,56176120000.0,354603,28
141000,临汾,Linfen,111.378,36.2269,810000.0,989000.0,26120240000.0,273318,125
360800,吉安,Ji'an,114.823,26.9731,590000.0,688000.0,23290660000.0,527969,93
211200,铁岭,Tieling,124.172,42.6418,430000.0,593000.0,12498160000.0,207090,48
530800,普洱,Pu'er,100.72,23.1877,230000.0,354000.0,13241340000.0,92405,34
411200,三门峡,Sanmenxia,111.106,34.363,640000.0,650000.0,38500640000.0,270518,21
511000,内江,Neijiang,104.909,29.6404,1410000.0,1511000.0,47169680000.0,268278,70
140700,晋中,Jinzhong,112.961,37.3268,620000.0,743000.0,21628320000.0,384798,100
230300,鸡西,Jixi,132.281,45.628,830000.0,851000.0,16478170000.0,105001,1
421100,黄冈,Huanggang,115.339,30.716,350000.0,426000.0,20316090000.0,596425,78
451100,贺州,Hezhou,111.359,24.359,1190000.0,1214000.0,29986360000.0,185767,61
230500,双鸭山,Shuangyashan,132.544,46.6787,480000.0,486000.0,12135250000.0,97986,1
620300,金昌,Jinchang,102.037,38.4333,210000.0,254000.0,14193510000.0,101257,12
450600,防城港,Fangchenggang,107.992,21.8854,580000.0,645000.0,51129220000.0,189646,6
620400,白银,Baiyin,104.622,36.6116,500000.0,635000.0,25889930000.0,157643,20
620200,嘉峪关,Jiayuguan,98.193,39.8134,210000.0,263000.0,15340890000.0,145288,5
530500,保山,Baoshan,98.9733,24.9778,930000.0,954000.0,23459100000.0,133853,22
512000,资阳,Ziyang,104.952,30.1799,1100000.0,1161000.0,44552510000.0,280159,3
610900,安康,Ankang,108.927,32.759,1010000.0,1027000.0,25215830000.0,295812,47
640200,石嘴山,Shizuishan,106.514,39.0044,440000.0,532000.0,36345600000.0,99393,7
530600,昭通,Zhaotong,104.001,27.6532,910000.0,958000.0,23357440000.0,258723,21
530700,丽江,Lijiang,100.525,26.9422,160000.0,223000.0,11678400000.0,360850,5
610800,榆林,Yulin(SX),109.568,38.0384,580000.0,1274000.0,55671500000.0,333333,88
150800,巴彦淖尔,Bayannur,107.57,41.4468,520000.0,587000.0,29730000000.0,125022,7
620900,酒泉,Jiuquan,96.0577,40.2579,410000.0,559000.0,16871310000.0,379707,18
451000,百色,Baise,106.289,23.9858,360000.0,418000.0,22571110000.0,424105,42
620800,平凉,Pingliang,106.651,35.3065,520000.0,605000.0,13106960000.0,162133,3
341800,宣城,Xuancheng,118.855,30.6883,870000.0,989000.0,29072630000.0,229006,41
620700,张掖,Zhangye,99.8389,38.9503,510000.0,517000.0,16876840000.0,231127,40
621100,定西,Dingxi,104.452,35.1206,470000.0,483000.0,7612110000.0,221684,3
620600,武威,Wuwei,103.056,38.1662,1040000.0,1072000.0,28698970000.0,204687,15
